# source	relation	cible	note
# Relations autorisees : specifies, supports, operationalizes, illustrates, limits, objects_to, contrasts_with, bridges, motivates.
idea_0162	illustrates	idea_0160	La mémoire involontaire proustienne fournit un terrain où une mobilisation par la sensation peut précéder la formulation de la question.
idea_0163	specifies	idea_0141	La morale peut transmettre à l'intérescence une fonction motrice sans définir sa nature ni garantir la valeur de ce qu'elle mobilise.
idea_0163	contrasts_with	idea_0117	L'héritage fonctionnel proposé ne supprime pas la séparation méthodologique entre description de la prise et jugement moral.
idea_0163	bridges	idea_0162	Job distingue motivation morale intense, intérescence interne non attestée et intérescence externe du lecteur ; un véritable contre-cas religieux exigerait une prise autonome et transformatrice.
idea_0163	specifies	idea_0161	L'opérateur relationnel peut reprendre une fonction d'orientation autrefois attribuée à la loi sans devenir lui-même un commandement.
idea_0163	specifies	idea_0125	La naturalisation porte sur la genèse relationnelle du mobile, non sur une évolution biologique linéaire de la morale.
idea_0163	bridges	idea_0140	La formule distingue ce qui doit compter, ce qui vient à compter et l'évaluation ultérieure de ce qui mérite de continuer à compter.
idea_0164	specifies	idea_0123	Étend la construction de l'intéressant au cas où une autre personne accompagne le travail du sujet.
idea_0164	supports	idea_0084	La médiation transforme la relation entre une matière et l'histoire du sujet sans faire de l'intérêt une propriété de la matière.
idea_0164	contrasts_with	idea_0115	Distingue l'accompagnement qui rend l'élève autonome de l'attention qui fabrique une profondeur dépendante de l'interprète.
